[17996,932839] [40013,942041]
[40990,942031] [60045,926980]
[60043,926005] [55927,913950]
[55997,913040] [64072,900929]
[64063,900046] [56990,890995]
[56973,890117] [71001,885998]
[71962,885070] [80032,868941]
[56001,890990] [35994,894003]
[80052,868038] [67957,848979]
[64955,900948] [90029,912057]
[90994,912046] [95023,906944]
[95997,906123] [110027,898979]
[110968,898055] [113122,887980]
[90961,912893] [108067,927023]
[108136,927992] [104966,946037]
[104993,946129] [124006,941836]
[104027,946992] [84964,954225]
[84000,954016] [82990,954076]
[40058,942949] [25936,970023]
[25006,970990] [23995,972066]
[67013,848958] [37993,859057]
[37004,859994] [3997,869038]
[82104,954929] [68788,991030]
[68980,991905] [81038,995000]
[68007,991880] [53994,999126]
[67991,848026] [91055,815974]
[91879,815013] [105033,791955]
[105012,791089] [73991,788952]
[73065,788021] [63985,756984]
[63017,756800] [43960,758277]
[43001,758824] [34993,759037]
[34062,759042] [21982,745909]
[21116,745980] [10958,757012]
[10922,757991] [11215,771011]
[63161,756000] [59825,714968]
[59995,714007] [75014,712994]
[75993,712086] [85006,710845]
[85999,710041] [111008,704865]
[111980,704030] [114040,701955]
[114008,701010] [112914,695967]
[112969,695018] [115022,679983]
[114993,701058] [138009,700881]
[138875,700003] [140133,694990]
[140976,694011] [146031,690950]
[138993,700989] [141036,711024]
[146995,690028] [163037,683964]
[163957,683996] [166093,700000]
[166985,700935] [176027,705018]
[176967,705016] [194034,699938]
[176024,705970] [169997,724006]
[141916,711945] [149011,730024]
[194952,699071] [215006,683965]
[163105,683009] [162401,655997]
[162051,655001] [161659,636985]
[161016,636044] [136987,630870]
[59122,714003] [49900,681974]
[49886,681015] [57127,666977]
[57044,666073] [44944,659969]
[49028,681910] [20967,694037]
[215987,683872] [250007,686215]
[250932,686015] [254067,669965]
[254974,669013] [259010,653984]
[259010,653043] [256997,652950]
[259985,653002] [264045,648988]
[264966,648954] [266047,651028]
[256023,652174] [243983,649824]
[243970,649008] [249120,640956]
[266994,651977] [282028,653132]
[249051,640018] [242760,618981]
[282937,653002] [306011,635993]
[306911,635003] [310042,617974]
[310030,617060] [309987,616917]
[309768,616014] [311020,604977]
[311117,604001] [294990,589931]
[306939,635967] [328018,646009]
[294993,589070] [315021,575931]
[315060,575001] [308943,565870]
[308987,565036] [321066,558829]
[321924,558000] [323167,540999]
[308027,565053] [285971,550866]
[285075,550001] [275915,528970]
[275040,528033] [267946,509958]
[267002,509283] [245995,508808]
[245045,508945] [240978,517008]
[267869,509010] [269019,479975]
[269036,479000] [263924,461953]
[263960,461026] [280019,455907]
[242023,618998] [213949,627059]
[213009,627957] [202985,634029]
[202910,634990] [208091,646025]
[280962,455037] [295058,428984]
[295971,428035] [297066,416995]
[297958,416039] [300245,396987]
[300012,396050] [292904,382972]
[292890,382000] [301003,363975]
[301988,363044] [313028,355953]
[313932,355000] [322092,333990]
[322758,333002] [325068,313997]
[295003,428177] [268991,426929]
[268008,426094] [255974,423890]
[255027,423111] [246986,420997]
[246010,420965] [238991,423018]
[313986,355975] [331013,376043]
[331843,376990] [336036,397006]
[325987,313677] [353010,314369]
[353951,314980] [357015,324091]
[357975,324926] [370012,350012]
[263023,461014] [233983,454949]
[233006,454098] [216988,450966]
[216016,450976] [203981,461078]
[203874,461989] [204723,486001]
[204007,486214] [195977,485901]
[204914,486971] [207090,495040]
[195102,485005] [173919,466985]
[173129,466042] [159970,449970]
[159027,449010] [144998,446945]
[144933,446002] [150004,432991]
[150969,432063] [157001,430995]
[157992,430795] [165009,431114]
[157068,430026] [151930,423891]
[165877,431000] [167107,420998]
[151002,423484] [139995,423550]
[144137,446978] [142694,462013]
[142016,462962] [132969,472038]
[132007,472085] [127968,467961]
[139052,423041] [126964,410931]
[126105,410045] [120945,393991]
[127023,467975] [102920,480011]
[102000,480980] [89907,503037]
[89953,503956] [97016,512024]
[167815,420012] [183000,394977]
[370048,350977] [364998,381026]
[282987,653953] [305059,677006]
[305007,677993] [302943,696007]
[132930,472979] [135085,505009]
[135974,505935] [154010,510099]
[154975,510876] [156013,511165]
[156065,511994] [153963,520046]
[153902,520996] [160033,553017]
[160907,553977] [175018,581006]
[175944,581994] [179151,595038]
[175993,581023] [206000,578668]
[206986,578936] [221015,588029]
[221956,588017] [228052,580977]
[228949,580039] [234248,570993]
[234007,570027] [229967,565996]
[229998,565004] [236095,551975]
[236993,551922] [248059,556068]
[229024,565015] [210982,549965]
[183816,394013] [187143,360989]
[175003,581954] [143988,595008]
[143011,595782] [123997,596268]
[123000,596977] [101991,610054]
[101014,610088] [76998,598952]
[76999,598071] [94014,582983]
[94929,582026] [100077,551958]
[100979,551078] [122046,547998]
[76068,598992] [70964,631008]
[70933,631953] [83059,639013]
[187978,360032] [201107,328979]
[201007,328018] [186999,313928]
[186000,313867] [170998,315255]
[186062,313010] [181962,287982]
[181965,287013] [182007,285983]
[182990,285744] [212010,288063]
[212999,288031] [214074,282999]
[212981,288871] [219039,290043]
[219976,290106] [222034,286971]
[219954,290918] [232024,300021]
[302126,696935] [284974,726041]
[284065,726960] [276849,759042]
[276004,759975] [257997,766180]
[276992,759782] [303000,760250]
[257996,766937] [273169,792013]
[273991,792974] [278134,799001]
[278036,799976] [271905,813023]
[271056,813989] [270997,829003]
[270997,829003] [281013,827845]
[270093,829959] [265997,840005]
[281965,827959] [291024,836034]
[291085,836973] [287959,847008]
[287995,847982] [293046,855035]
[293999,855044] [296009,855138]
[293018,855990] [277990,862008]
[277031,862998] [253995,868202]
[253017,868986] [241953,882009]
[241997,882985] [247153,890045]
[296982,855967] [318021,870030]
[318982,870073] [333002,867947]
[333980,867885] [345015,883049]
[345992,883928] [362005,886087]
[362942,886980] [369007,906004]
[369963,906988] [388037,915003]
[388926,915947] [402001,923128]
[402011,923965] [389979,932153]
[402984,923985] [418059,938061]
[418964,938964] [422023,946054]
[422004,946826] [414990,947250]
[422910,946983] [439029,958021]
[389120,932970] [379935,955026]
[379827,955978] [385001,967000]
[385916,967943] [399047,978002]
[418997,938013] [428054,912952]
[428940,912940] [449037,925113]
[449999,925107] [469001,912936]
[469961,912961] [490025,925025]
[439999,958042] [466039,951894]
[273003,792656] [244998,794116]
[244015,794719] [227961,798040]
[227004,798018] [205938,783949]
[205019,783901] [199976,785043]
[199105,785005] [188971,763984]
[188980,763135] [209015,758842]
